Fecha,Mes,Precipitación (mm),Dpto
01/05/2020,may-20,80,Colon
01/06/2020,jun-20,52,Colon
01/07/2020,jul-20,6,Colon
01/08/2020,ago-20,47,Colon
01/09/2020,sep-20,63,Colon
01/10/2020,oct-20,15,Colon
01/11/2020,nov-20,72,Colon
01/12/2020,dic-20,85,Colon
01/01/2021,ene-21,0,Colon
01/02/2021,feb-21,5,Colon
01/03/2021,mar-21,38,Colon
01/04/2021,abr-21,66,Colon
01/05/2021,may-21,0,Colon
01/05/2020,may-20,97,Concordia
01/06/2020,jun-20,90,Concordia
01/07/2020,jul-20,5,Concordia
01/08/2020,ago-20,33,Concordia
01/09/2020,sep-20,101,Concordia
01/10/2020,oct-20,0,Concordia
01/11/2020,nov-20,39,Concordia
01/12/2020,dic-20,53,Concordia
01/01/2021,ene-21,22,Concordia
01/02/2021,feb-21,155,Concordia
01/03/2021,mar-21,0,Concordia
01/04/2021,abr-21,80,Concordia
01/05/2021,may-21,0,Concordia
01/05/2020,may-20,11,Diamante
01/06/2020,jun-20,25,Diamante
01/07/2020,jul-20,8,Diamante
01/08/2020,ago-20,6,Diamante
01/09/2020,sep-20,32,Diamante
01/10/2020,oct-20,0,Diamante
01/11/2020,nov-20,0,Diamante
01/12/2020,dic-20,54,Diamante
01/01/2021,ene-21,71,Diamante
01/02/2021,feb-21,41,Diamante
01/03/2021,mar-21,40,Diamante
01/04/2021,abr-21,14,Diamante
01/05/2021,may-21,0,Diamante
01/05/2020,may-20,113,Federacion
01/06/2020,jun-20,95,Federacion
01/07/2020,jul-20,47,Federacion
01/08/2020,ago-20,32,Federacion
01/09/2020,sep-20,118,Federacion
01/10/2020,oct-20,0,Federacion
01/11/2020,nov-20,62,Federacion
01/12/2020,dic-20,141,Federacion
01/01/2021,ene-21,24,Federacion
01/02/2021,feb-21,9,Federacion
01/03/2021,mar-21,0,Federacion
01/04/2021,abr-21,0,Federacion
01/05/2021,may-21,0,Federacion
01/05/2020,may-20,55,Federal
01/06/2020,jun-20,25,Federal
01/07/2020,jul-20,5,Federal
01/08/2020,ago-20,20,Federal
01/09/2020,sep-20,66,Federal
01/10/2020,oct-20,0,Federal
01/11/2020,nov-20,67,Federal
01/12/2020,dic-20,79,Federal
01/01/2021,ene-21,20,Federal
01/02/2021,feb-21,27,Federal
01/03/2021,mar-21,81,Federal
01/04/2021,abr-21,81,Federal
01/05/2021,may-21,0,Federal
01/05/2020,may-20,0,Feliciano
01/06/2020,jun-20,0,Feliciano
01/07/2020,jul-20,3,Feliciano
01/08/2020,ago-20,12,Feliciano
01/09/2020,sep-20,137,Feliciano
01/10/2020,oct-20,4,Feliciano
01/11/2020,nov-20,29,Feliciano
01/12/2020,dic-20,111,Feliciano
01/01/2021,ene-21,16,Feliciano
01/02/2021,feb-21,31,Feliciano
01/03/2021,mar-21,26,Feliciano
01/04/2021,abr-21,44,Feliciano
01/05/2021,may-21,0,Feliciano
01/05/2020,may-20,21,Gualeguay
01/06/2020,jun-20,0,Gualeguay
01/07/2020,jul-20,26,Gualeguay
01/08/2020,ago-20,13,Gualeguay
01/09/2020,sep-20,61,Gualeguay
01/10/2020,oct-20,57,Gualeguay
01/11/2020,nov-20,0,Gualeguay
01/12/2020,dic-20,0,Gualeguay
01/01/2021,ene-21,11,Gualeguay
01/02/2021,feb-21,9,Gualeguay
01/03/2021,mar-21,0,Gualeguay
01/04/2021,abr-21,3,Gualeguay
01/05/2021,may-21,0,Gualeguay
01/05/2020,may-20,0,Gualeguachú
01/06/2020,jun-20,29,Gualeguachú
01/07/2020,jul-20,20,Gualeguachú
01/08/2020,ago-20,18,Gualeguachú
01/09/2020,sep-20,61,Gualeguachú
01/10/2020,oct-20,24,Gualeguachú
01/11/2020,nov-20,34,Gualeguachú
01/12/2020,dic-20,29,Gualeguachú
01/01/2021,ene-21,29,Gualeguachú
01/02/2021,feb-21,17,Gualeguachú
01/03/2021,mar-21,49,Gualeguachú
01/04/2021,abr-21,142,Gualeguachú
01/05/2021,may-21,0,Gualeguachú
01/05/2020,may-20,0,Islas del Ibicuy
01/06/2020,jun-20,104,Islas del Ibicuy
01/07/2020,jul-20,0,Islas del Ibicuy
01/08/2020,ago-20,0,Islas del Ibicuy
01/09/2020,sep-20,0,Islas del Ibicuy
01/10/2020,oct-20,22,Islas del Ibicuy
01/11/2020,nov-20,31,Islas del Ibicuy
01/12/2020,dic-20,0,Islas del Ibicuy
01/01/2021,ene-21,26,Islas del Ibicuy
01/02/2021,feb-21,8,Islas del Ibicuy
01/03/2021,mar-21,28,Islas del Ibicuy
01/04/2021,abr-21,29,Islas del Ibicuy
01/05/2021,may-21,0,Islas del Ibicuy
01/05/2020,may-20,54,La Paz
01/06/2020,jun-20,23,La Paz
01/07/2020,jul-20,7,La Paz
01/08/2020,ago-20,17,La Paz
01/09/2020,sep-20,57,La Paz
01/10/2020,oct-20,5,La Paz
01/11/2020,nov-20,0,La Paz
01/12/2020,dic-20,77,La Paz
01/01/2021,ene-21,37,La Paz
01/02/2021,feb-21,35,La Paz
01/03/2021,mar-21,8,La Paz
01/04/2021,abr-21,62,La Paz
01/05/2021,may-21,0,La Paz
01/05/2020,may-20,20,Nogoyá
01/06/2020,jun-20,29,Nogoyá
01/07/2020,jul-20,11,Nogoyá
01/08/2020,ago-20,5,Nogoyá
01/09/2020,sep-20,39,Nogoyá
01/10/2020,oct-20,34,Nogoyá
01/11/2020,nov-20,64,Nogoyá
01/12/2020,dic-20,82,Nogoyá
01/01/2021,ene-21,57,Nogoyá
01/02/2021,feb-21,24,Nogoyá
01/03/2021,mar-21,39,Nogoyá
01/04/2021,abr-21,62,Nogoyá
01/05/2021,may-21,0,Nogoyá
01/05/2020,may-20,42,Paraná
01/06/2020,jun-20,55,Paraná
01/07/2020,jul-20,11,Paraná
01/08/2020,ago-20,6,Paraná
01/09/2020,sep-20,39,Paraná
01/10/2020,oct-20,34,Paraná
01/11/2020,nov-20,43,Paraná
01/12/2020,dic-20,112,Paraná
01/01/2021,ene-21,97,Paraná
01/02/2021,feb-21,44,Paraná
01/03/2021,mar-21,104,Paraná
01/04/2021,abr-21,204,Paraná
01/05/2021,may-21,0,Paraná
01/05/2020,may-20,0,San Salvador
01/06/2020,jun-20,46,San Salvador
01/07/2020,jul-20,34,San Salvador
01/08/2020,ago-20,78,San Salvador
01/09/2020,sep-20,235,San Salvador
01/10/2020,oct-20,0,San Salvador
01/11/2020,nov-20,0,San Salvador
01/12/2020,dic-20,121,San Salvador
01/01/2021,ene-21,103,San Salvador
01/02/2021,feb-21,25,San Salvador
01/03/2021,mar-21,0,San Salvador
01/04/2021,abr-21,0,San Salvador
01/05/2021,may-21,0,San Salvador
01/05/2020,may-20,24,Rosario del Tala
01/06/2020,jun-20,5,Rosario del Tala
01/07/2020,jul-20,24,Rosario del Tala
01/08/2020,ago-20,39,Rosario del Tala
01/09/2020,sep-20,75,Rosario del Tala
01/10/2020,oct-20,0,Rosario del Tala
01/11/2020,nov-20,0,Rosario del Tala
01/12/2020,dic-20,36,Rosario del Tala
01/01/2021,ene-21,68,Rosario del Tala
01/02/2021,feb-21,9,Rosario del Tala
01/03/2021,mar-21,0,Rosario del Tala
