Dpto,may-20,jun-20,jul-20,ago-20,sep-20,oct-20,nov-20,dic-20,ene-21,feb-21,mar-21,abr-21
Colón,80,52,6,47,63,45,72,85,82,49,123,66
Concordia,97,90,5,33,101,41,39,53,22,91,77,80
Diamante,72,25,8,6,32,70,67,54,71,41,118,146
Federacion,113,95,47,32,118,58,62,141,24,26,90,50
Federal,55,25,5,20,66,47,67,79,20,27,81,81
Feliciano,50,51,3,12,137,19,29,111,16,31,126,44
Gualeguay,114,21,26,13,61,57,48,115,11,9,160,133
Gualeguachú,127,29,20,18,61,24,34,29,29,17,149,142
Islas del Ibicuy,0,104,0,0,0,22,31,0,26,8,28,29
La Paz,54,23,7,17,57,44,89,77,37,35,138,82
Nogoyá,75,29,11,5,39,34,64,82,57,24,115,170
Paraná,42,55,11,6,39,54,43,112,97,44,104,204
San Salvador,130,46,34,78,73,72,80,121,103,25,88,214
Rosario del Tala,91,28,24,39,75,31,67,36,68,9,110,124
C del Uruguay,128,13,2,28,87,25,66,42,6,18,98,110
Victoria,106,44,10,9,36,61,76,40,67,24,168,97
Villaguay,64,67,12,35,48,61,63,91,74,30,84,181
